pc_ts,runtime_state,robot_mode,safety_mode,speed_scaling,din_bits,dout_bits,ai0,ai1,q_0,q_1,q_2,q_3,q_4,q_5,qd_0,qd_1,qd_2,qd_3,qd_4,qd_5,tq_0,tq_1,tq_2,tq_3,tq_4,tq_5,tqd_0,tqd_1,tqd_2,tqd_3,tqd_4,tqd_5,tcp_0,tcp_1,tcp_2,tcp_3,tcp_4,tcp_5,tcps_0,tcps_1,tcps_2,tcps_3,tcps_4,tcps_5,tcpf_0,tcpf_1,tcpf_2,tcpf_3,tcpf_4,tcpf_5
1759936358,2,7,1,1,0,768,0,0,-3.04344732,-1.528310375,1.306814496,4.980874944,3.941719055,0.645345688,-1.046238542,0.02217585,-0.15656215,-0.843661189,0.480746001,0.,-3.043998086,-1.528282634,1.306837206,4.980674442,3.941980113,0.645347782,-1.047197551,0.02213071,-0.157216692,-0.839958915,0.480169801,0.0000232277865649556,0.488005982,0.113093553,0.596581448,1.307580374,-2.277907198,0.956198023,0.185161384,-0.469435724,0.111847141,0.573247874,-0.926340574,-1.065155514,0.966101882,-1.338405546,-1.979316324,-0.014047627,-0.005034292,-0.01429313
1759936358,2,7,1,1,0,768,0,0,-3.04344732,-1.528310375,1.306814496,4.980874944,3.941719055,0.645345688,-1.046238542,0.02217585,-0.15656215,-0.843661189,0.480746001,0.,-3.043998086,-1.528282634,1.306837206,4.980674442,3.941980113,0.645347782,-1.047197551,0.02213071,-0.157216692,-0.839958915,0.480169801,0.0000232277865649556,0.488005982,0.113093553,0.596581448,1.307580374,-2.277907198,0.956198023,0.185161384,-0.469435724,0.111847141,0.573247874,-0.926340574,-1.065155514,0.966101882,-1.338405546,-1.979316324,-0.014047627,-0.005034292,-0.01429313
1759936358,2,7,1,1,0,768,0,0,-3.051839654,-1.528100261,1.305510346,4.974166679,3.945668697,0.645324826,-1.046392798,0.022566795,-0.154969662,-0.836183846,0.480285197,0.,-3.052375666,-1.528105588,1.305579473,4.973954771,3.945821471,0.645347968,-1.047197551,0.02213071,-0.157216692,-0.839958915,0.480169801,0.0000232277865649556,0.489483845,0.109327338,0.597476258,1.297317099,-2.290740332,0.954986897,0.180937138,-0.471579478,0.110871042,0.564306128,-0.921709202,-1.061578097,0.77967712,-0.985366493,-2.250920638,-0.019885722,-0.009919006,-0.013233843
1759936358,2,7,1,1,0,768,0,0,-3.060206954,-1.527941072,1.304259125,4.967748272,3.94955039,0.6453619,-1.045279622,0.021466147,-0.155162603,-0.837297797,0.477206707,0.,-3.060753247,-1.527928543,1.304321739,4.9672351,3.949662829,0.645348153,-1.047197551,0.02213071,-0.157216692,-0.839958915,0.480169801,0.0000232277865649556,0.490885409,0.105549058,0.598352871,1.286979841,-2.303258216,0.953724459,0.176569889,-0.47319811,0.112480179,0.553823961,-0.929025191,-1.056756487,0.711751406,-1.455504294,-2.160756046,-0.020578193,-0.009178707,-0.009597289
1759936358,2,7,1,1,0,768,0,0,-3.068548266,-1.52775658,1.302907292,4.961197662,3.953389883,0.6453619,-1.0489223,0.02007279,-0.154895872,-0.841776907,0.477073967,0.,-3.069130827,-1.527751497,1.303064006,4.960515429,3.953504188,0.645348339,-1.047197551,0.02213071,-0.157216692,-0.839958915,0.480169801,0.0000232277865649556,0.492273221,0.101767085,0.599286113,1.276602495,-2.315802059,0.952734639,0.172757952,-0.476915299,0.114156402,0.546425519,-0.939192547,-1.056692603,0.618640717,-0.841481727,-2.26517811,-0.021643407,-0.013130816,-0.01049749
1759936358,2,7,1,1,0,768,0,0,-3.076933209,-1.527613935,1.301667039,4.954283196,3.957108736,0.645316303,-1.047086477,0.021905128,-0.153801695,-0.840831995,0.477936625,0.,-3.077508407,-1.527574451,1.301806272,4.953795757,3.957345546,0.645348525,-1.047197551,0.02213071,-0.157216692,-0.839958915,0.480169801,0.0000232277865649556,0.493644741,0.097940811,0.600235993,1.26606134,-2.328404477,0.952150455,0.169312426,-0.47779094,0.113246983,0.539212809,-0.939803169,-1.051056082,0.974038802,-0.975652869,-2.252972958,-0.021270227,-0.004321588,-0.013337575
1759936358,2,7,1,1,0,768,0,0,-3.085394923,-1.527490997,1.300437276,4.947259444,3.960859299,0.645376861,-1.04804635,0.021794602,-0.153498799,-0.8369115,0.478875011,0.,-3.085885988,-1.527397406,1.300548538,4.947076086,3.961186905,0.645348711,-1.047197551,0.02213071,-0.157216692,-0.839958915,0.480169801,0.0000232277865649556,0.494990498,0.094063801,0.601204914,1.255235992,-2.341172059,0.951708139,0.1650053,-0.480087926,0.113394915,0.531989912,-0.940155961,-1.048155434,0.888508747,-1.200597945,-2.153099368,-0.022795233,-0.009955798,-0.016362137
1759936358,2,7,1,1,0,768,0,0,-3.093742911,-1.527259839,1.299151246,4.940650466,3.964699745,0.645312905,-1.048942089,0.022831151,-0.155620992,-0.831953287,0.481323838,0.,-3.094263568,-1.52722036,1.299290805,4.940356415,3.965028263,0.645348897,-1.047197551,0.02213071,-0.157216692,-0.839958915,0.480169801,0.0000232277865649556,0.496308974,0.090235323,0.602105027,1.244733635,-2.353406153,0.950871065,0.161151292,-0.482180244,0.113897093,0.526395917,-0.940564379,-1.045406898,0.678831379,-0.980534969,-2.359896919,-0.023197749,-0.009729395,-0.012741149
1759936358,2,7,1,1,0,768,0,0,-3.102077309,-1.527163876,1.297929112,4.93420549,3.968530893,0.64535439,-1.046382546,0.02188175,-0.156012967,-0.835865259,0.485166907,0.,-3.102641149,-1.527043314,1.298033071,4.933636743,3.968869621,0.645349083,-1.047197551,0.02213071,-0.157216692,-0.839958915,0.480169801,0.0000232277865649556,0.497524119,0.086395648,0.60303143,1.234087254,-2.365571711,0.950080098,0.156771395,-0.482345779,0.115346014,0.522565082,-0.950002907,-1.039156483,0.964710986,-1.013247399,-2.08015831,-0.019381664,-0.007947675,-0.015894149
1759936358,2,7,1,1,0,768,0,0,-3.110448662,-1.526950741,1.296742264,4.927587974,3.972409964,0.645353317,-1.048251271,0.022379337,-0.152965531,-0.842023313,0.483904481,0.,-3.111018729,-1.526866269,1.296775338,4.926917072,3.97271098,0.645349268,-1.047197551,0.02213071,-0.157216692,-0.839958915,0.480169801,0.0000232277865649556,0.498775066,0.082529971,0.603901375,1.223392899,-2.377694932,0.949300408,0.153618725,-0.485091321,0.114991892,0.513363766,-0.956983035,-1.0373337,0.615874081,-1.144835671,-2.496591465,-0.023300412,-0.007618432,-0.010323766
